127.0.0.1 - - [21/Jun/2026 12:34:35] "GET /api/geocode?region=%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%82%BC%EC%B2%99%EC%8B%9C HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:38] "GET /api/messages?serviceKey=79TC865LX2RE904U&numOfRows=100&pageNo=1&returnType=json&crtDt=20260619 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:39] "GET /api/messages?serviceKey=79TC865LX2RE904U&numOfRows=100&pageNo=2&returnType=json&crtDt=20260619 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:39] "GET /api/geocode?region=%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:39] "GET /api/geocode?region=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EC%82%AC%ED%95%98%EA%B5%AC HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:39] "GET /api/geocode?region=%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EC%A0%9C%EC%B2%9C%EC%8B%9C HTTP/1.1" 200 -
127.0.0.1 - - [21/Jun/2026 12:34:43] "GET /api/geocode?region=%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84%20%EA%B4%B4%EC%82%B0%EA%B5%B0 HTTP/1.1" 502 -
127.0.0.1 - - [21/Jun/2026 12:34:44] "GET /api/geocode?region=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%82%B0%EC%8B%9C HTTP/1.1" 502 -
127.0.0.1 - - [21/Jun/2026 12:34:44] "GET /api/geocode?region=%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%20%EC%A0%95%EC%84%A0%EA%B5%B0 HTTP/1.1" 502 -
127.0.0.1 - - [21/Jun/2026 12:34:45] "GET /api/geocode?region=%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84%20%EA%B0%95%EC%A7%84%EA%B5%B0 HTTP/1.1" 502 -
127.0.0.1 - - [21/Jun/2026 12:34:45] "GET /api/geocode?region=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B8%B0%EC%9E%A5%EA%B5%B0 HTTP/1.1" 502 -
